data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7006950,112,BLR340,340,2020-03-25,2020,1,Protests,"Peaceful protest","Protesters (Belarus)","BPF: Conservative Christian Party of the Belarusian People's Front",6,,,0,60,Europe,Belarus,Grodno,Hrodna,,Grodno,53.6884,23.8258,1,Svaboda.org,National,"On 25 March 2020, locals, including a BPF local leader, held a commemoration event in Grodno for the 1918 Belarusian People's Republic, raising concerns that democratic norms and institutes inspired by the Republic were not put in place until now. [size=no report]",0,1585673076,BLR
7006628,112,BLR339,339,2020-03-22,2020,1,Protests,"Peaceful protest","Protesters (Belarus)",,6,,,0,60,Europe,Belarus,Brest,Brest,,Brest,52.0975,23.6878,1,"BelaPAN; Charter-97; naviny.by; Svaboda.org",National,"On 22 March 2020, at least 200 people marched in Brest against the operation of a battery plant near the city. [size=at least 200]",0,1585673075,BLR
7006627,112,BLR338,338,2020-03-15,2020,1,Protests,"Peaceful protest","Protesters (Belarus)","Journalists (Belarus)",6,,,0,60,Europe,Belarus,Minsk,Slutsk,,Slutsk,53.0274,27.5597,1,"Novy Chas; Viasna",Other-National,"On 15 March 2020, followers and readers of a local blogger gathered for a protest meeting organized by the latter in Slutsk of the Minsk municipality, complaining about the lack of attention of authorities to their community. The authorities considered the meeting as an unsanctioned public assembly. [size=no report]",0,1585673075,BLR
7000015,112,BLR337,337,2020-03-15,2020,1,Protests,"Peaceful protest","Protesters (Belarus)",,6,,,0,60,Europe,Belarus,Brest,Brest,,Brest,52.0975,23.6878,1,"Brestskaya Gazeta; Charter-97",Subnational-National,"On 15 March 2020, at least 200 people protested in Brest against the operation of a battery plant near the city. [size=at least 200]",0,1585075514,BLR
6995316,112,BLR336,336,2020-03-09,2020,1,Protests,"Peaceful protest","Protesters (Belarus)",,6,,,0,60,Europe,Belarus,Gomel,Gomel,,Gomel,52.4345,30.9754,1,"BelaPAN; Svaboda.org",National,"On 9 March 2020, locals of a quarter in Gomel protested against the removal of an apple tree park near their blocks. [size=no report]",0,1584471340,BLR
6995315,112,BLR335,335,2020-03-08,2020,1,Protests,"Peaceful protest","Protesters (Belarus)","Women (Belarus)",6,,,0,60,Europe,Belarus,Brest,Brest,,Brest,52.0975,23.6878,1,"Charter-97; Brestskaya Gazeta; naviny.by; BelaPAN",Subnational-National,"On 8 March 2020, around 100 people marched in Brest against the operation of a battery plant near the city and against discrimination of women. [size=around 100]",0,1584471340,BLR
6984093,112,BLR334,334,2020-03-01,2020,1,Protests,"Peaceful protest","Protesters (Belarus)",,6,,,0,60,Europe,Belarus,Brest,Brest,,Brest,52.0975,23.6878,1,"naviny.by; BelaPAN; Charter-97; TUT.BY; Brestskaya Gazeta",Subnational-National,"On 1 March 2020, around 100 people marched in Brest against the operation of a battery plant near the city. [size=around 100]",0,1583873549,BLR
6979146,112,BLR333,333,2020-02-25,2020,1,Protests,"Peaceful protest","Protesters (Belarus)","Journalists (Belarus)",6,,,0,60,Europe,Belarus,Minsk,"City of Minsk",,Minsk-Maskouski,53.8705,27.4894,1,"Svaboda.org; Charter-97; Nasha Niva; Belsat",National,"On 25 February 2020, around 60 people protested outside the Belneftkhim HQ in Minsk, demanding explanations over the formation of the petrol price. The protest was organized by a blogger. [size=around 60]",0,1583264877,BLR
6979145,112,BLR331,331,2020-02-23,2020,1,Protests,"Peaceful protest","Protesters (Belarus)",,6,,,0,60,Europe,Belarus,Brest,Brest,,Brest,52.0975,23.6878,1,"Svaboda.org; Brestskaya Gazeta; Nasha Niva; BelaPAN; Charter-97",Subnational-National,"On 23 February 2020, around 120 people protested in Brest against the operation of a battery plant near the city. [size=around 120]",0,1583264877,BLR
6979307,112,BLR332,332,2020-02-23,2020,1,Protests,"Peaceful protest","Protesters (Belarus)","European Belarus",6,,,0,60,Europe,Belarus,Gomel,Svietlahorsk,,Svietlahorsk,52.6329,29.7389,1,Charter-97,National,"On 23 February 2020, a protest was held by European Belarus activists in Svietlahorsk of the Gomel region against the operation of a cellulose plant outside the city. [size=no report]",0,1583264877,BLR
